"FileName","CellSeedingDensity","ReporterGroup","CellLine","SpheroidCount"
"B11.csv",63,"NEG","CellLineX",6
"C11.csv",63,"NEG","CellLineX",5
"D11.csv",63,"NEG","CellLineX",1
"E11.csv",63,"NEG","CellLineX",1
"F11.csv",63,"NEG","CellLineX",3
"G11.csv",63,"NEG","CellLineX",0
"B10.csv",125,"NEG","CellLineX",0
"C10.csv",125,"NEG","CellLineX",7
"D10.csv",125,"NEG","CellLineX",2
"E10.csv",125,"NEG","CellLineX",7
"F10.csv",125,"NEG","CellLineX",4
"G10.csv",125,"NEG","CellLineX",2
"B9.csv",250,"NEG","CellLineX",4
"C9.csv",250,"NEG","CellLineX",1
"D9.csv",250,"NEG","CellLineX",3
"E9.csv",250,"NEG","CellLineX",4
"F9.csv",250,"NEG","CellLineX",5
"G9.csv",250,"NEG","CellLineX",5
"B8.csv",500,"NEG","CellLineX",27
"C8.csv",500,"NEG","CellLineX",18
"D8.csv",500,"NEG","CellLineX",12
"E8.csv",500,"NEG","CellLineX",14
"F8.csv",500,"NEG","CellLineX",23
"G8.csv",500,"NEG","CellLineX",24
"B7.csv",1000,"NEG","CellLineX",68
"C7.csv",1000,"NEG","CellLineX",58
"D7.csv",1000,"NEG","CellLineX",52
"E7.csv",1000,"NEG","CellLineX",62
"F7.csv",1000,"NEG","CellLineX",56
"G7.csv",1000,"NEG","CellLineX",59
"B6.csv",63,"POS","CellLineX",0
"C6.csv",63,"POS","CellLineX",0
"D6.csv",63,"POS","CellLineX",2
"E6.csv",63,"POS","CellLineX",2
"F6.csv",63,"POS","CellLineX",3
"G6.csv",63,"POS","CellLineX",1
"B5.csv",125,"POS","CellLineX",6
"C5.csv",125,"POS","CellLineX",8
"D5.csv",125,"POS","CellLineX",5
"E5.csv",125,"POS","CellLineX",2
"F5.csv",125,"POS","CellLineX",7
"G5.csv",125,"POS","CellLineX",5
"B4.csv",250,"POS","CellLineX",12
"C4.csv",250,"POS","CellLineX",15
"D4.csv",250,"POS","CellLineX",9
"E4.csv",250,"POS","CellLineX",13
"F4.csv",250,"POS","CellLineX",7
"G4.csv",250,"POS","CellLineX",6
"B3.csv",500,"POS","CellLineX",32
"C3.csv",500,"POS","CellLineX",46
"D3.csv",500,"POS","CellLineX",50
"E3.csv",500,"POS","CellLineX",44
"F3.csv",500,"POS","CellLineX",43
"G3.csv",500,"POS","CellLineX",35
"B2.csv",1000,"POS","CellLineX",97
"C2.csv",1000,"POS","CellLineX",91
"D2.csv",1000,"POS","CellLineX",75
"E2.csv",1000,"POS","CellLineX",76
"F2.csv",1000,"POS","CellLineX",65
"G2.csv",1000,"POS","CellLineX",90
