"CellLine","ReporterGroup","CellSeedingDensity","Mean_SpheroidCount","SD_SpheroidCount"
"CellLineX","NEG",63,2.66666666666667,2.42212028327799
"CellLineX","NEG",125,3.66666666666667,2.87518115371304
"CellLineX","NEG",250,3.66666666666667,1.50554530541816
"CellLineX","NEG",500,19.6666666666667,5.95538971576728
"CellLineX","NEG",1000,59.1666666666667,5.45588367422425
"CellLineX","POS",63,1.33333333333333,1.211060141639
"CellLineX","POS",125,5.5,2.07364413533277
"CellLineX","POS",250,10.3333333333333,3.55902608401044
"CellLineX","POS",500,41.6666666666667,6.83130051063973
"CellLineX","POS",1000,82.3333333333333,12.1928941054479
