Drug,Concentration_pM,log10_Concentration_pM,SVI,CSCindex,Replicate
B,5.00E+07,7.7,0.482855911,0.929628933,1
B,5.00E+07,7.7,0.461076448,0.875974205,2
B,5.00E+07,7.7,0.397887772,0.766043341,3
B,5.00E+06,6.7,0.681325441,1.367135953,1
B,5.00E+06,6.7,0.67655752,1.323090713,2
B,5.00E+06,6.7,0.544880813,1.256104659,3
B,5.00E+05,5.7,0.503497426,1.458613382,1
B,5.00E+05,5.7,0.731524833,1.409598684,2
B,5.00E+05,5.7,0.753051278,1.479700286,3
B,50000,4.7,0.836337469,1.751354062,1
B,50000,4.7,0.967178602,1.806060157,2
B,50000,4.7,0.824814653,1.429923338,3
B,0,0,1.064048087,1.067802615,1
B,0,0,1.072092791,0.978786932,2
B,0,0,0.863859123,0.953410453,3
